Blank,District Name,State Name [District] Latest available year,State,NCES ID,Total Schools,Lowest Grade Offered,Highest Grade Offered,Total Students,Phone,Zip,City
,NORTHWEST PASSAGE HIGH SCHOOL,Minnesota,MN,2700173,1,9th Grade,12th Grade,160,7638629223,55433,COON RAPIDS
,NORTHWEST PREP CHARTER DISTRICT,CALIFORNIA,CA,602006,1,7th Grade,12th Grade,101,7075223320,95401,Santa Rosa
,NORTHWEST PUBLIC SCHOOLS,Nebraska,NE,3174580,5,Prekindergarten,12th Grade,1449,3083856398,68803,GRAND ISLAND
,NORTHWEST R-I,Missouri,MO,2922890,10,Prekindergarten,12th Grade,6124,6366773473,63051,House Springs
,NORTHWEST REGIONAL ESD,Oregon,OR,4100022,1,Prekindergarten,12th Grade,0,5036141428,97124,Hillsboro
,NORTHWEST SP ED COOPERATIVE,ILLINOIS,IL,1701421,1,–,–,†,8155991947,61028,Elizabeth
,NORTHWEST TECH. CENTER- ALVA,Oklahoma,OK,4000095,0,†,†,†,5803270344,73717,ALVA
,NORTHWEST TECH. CENTER- FAIRVIEW,Oklahoma,OK,4000071,0,†,†,†,5802273708,73737,Fairview
,NORTHWEST TRI-COUNTY IU 5,Pennsylvania,PA,4289150,0,Kindergarten,12th Grade,239,8147345610,16412,Edinboro
,NORTHWEST WYOMING BOCES,Wyoming,WY,5600016,1,Kindergarten,12th Grade,0,3078642171,82443,Thermopolis
,NORTHWESTERN AREA SCHOOL DISTRICT 56-7,South Dakota,SD,4651750,4,Prekindergarten,12th Grade,321,6058873467,57461,Mellette
,NORTHWESTERN CON SCHOOL CORP,Indiana,IN,1808310,3,Prekindergarten,12th Grade,1512,3178357461,46126,Fairland
,NORTHWESTERN CUSD 2,Illinois,IL,1730540,3,Prekindergarten,12th Grade,321,2174362210,62674,Palmyra
,NORTHWESTERN ILLINOIS ASSN,Illinois,IL,1729020,3,–,–,†,8158959227,60178,Sycamore
,NORTHWESTERN LEHIGH SD,Pennsylvania,PA,4217850,4,Kindergarten,12th Grade,1998,6102988661,18066,New Tripoli
,NORTHWESTERN LOCAL,Ohio,OH,3904626,2,Prekindergarten,12th Grade,1607,9379641318,45502,Springfield
,NORTHWESTERN LOCAL,Ohio,OH,3910033,3,Prekindergarten,12th Grade,1272,4198463151,44287,West Salem
,NORTHWESTERN R-I,Missouri,MO,2922920,2,Prekindergarten,12th Grade,174,6602723201,64660,MENDON
,NORTHWESTERN REG ED PGM,Virginia,VA,5100025,1,Ungraded,Ungraded,0,5406650103,22602,Winchester
,NORTHWESTERN SCHOOL CORP,Indiana,IN,1802040,4,Kindergarten,12th Grade,1821,7654523060,46901,Kokomo
,NORTHWESTERN SD,Pennsylvania,PA,4217880,4,Kindergarten,12th Grade,1289,8147569400,16401,Albion
,NORTHWOOD 129,North Dakota,ND,3814340,2,Prekindergarten,12th Grade,325,7015875221,58267,Northwood
,NORTHWOOD ACADEMY CS,Pennsylvania,PA,4200139,1,Kindergarten,8th Grade,783,2152895606,19124,Philadelphia
,NORTHWOOD LOCAL SCHOOLS,Ohio,OH,3905071,2,Prekindergarten,12th Grade,881,4196913888,43619,Northwood
,NORTHWOOD SAU OFFICE,New Hampshire,NH,3399944,0,†,†,†,6039421290,3261,Northwood
,NORTHWOOD SCHOOL DISTRICT,New Hampshire,NH,3305430,1,Kindergarten,8th Grade,351,6039421290,3261,Northwood
,NORTHWOOD SCHOOL DISTRICT,Wisconsin,WI,5509720,4,Prekindergarten,12th Grade,314,7154662297,54859,Minong
,NORTHWOOD-KENSETT COMM SCHOOL DISTRICT,Iowa,IA,1921210,2,Prekindergarten,12th Grade,578,6413242021,50459,Northwood
,NORTON,Massachusetts,MA,2509000,5,Prekindergarten,12th Grade,2358,5082850100,2766,Norton
,NORTON CITY,Ohio,OH,3904455,4,Prekindergarten,12th Grade,2353,3308250863,44203,Norton
,NORTON CITY PBLC SCHS,Virginia,VA,5102760,2,Prekindergarten,12th Grade,861,2766792330,24273,Norton
,NORTON COMMUNITY SCHOOLS,Kansas,KS,2010020,3,Prekindergarten,12th Grade,632,7858773386,67654,Norton
,NORTON SCIENCE AND LANGUAGE ACADEMY DISTRICT,CALIFORNIA,CA,601558,1,Kindergarten,8th Grade,825,9093862300,92408,San Bernardino
,NORWALK CITY,Ohio,OH,3904456,6,Prekindergarten,12th Grade,2600,4196682779,44857,Norwalk
,NORWALK COMM SCHOOL DISTRICT,Iowa,IA,1921240,5,Prekindergarten,12th Grade,3353,5159810676,50211,Norwalk
,NORWALK SCHOOL DISTRICT,Connecticut,CT,903090,21,Prekindergarten,12th Grade,11509,2038544000,6852,Norwalk
,NORWALK-LA MIRADA UNIFIED,California,CA,627690,28,Kindergarten,12th Grade,16209,5622102000,90650,Norwalk
,NORWALK-ONTARIO-WILTON SCHOOL DISTRICT,Wisconsin,WI,5510770,2,Prekindergarten,12th Grade,605,6083374403,54651,Ontario
,NORWAY J7 SCHOOL DISTRICT,Wisconsin,WI,5510800,1,Prekindergarten,8th Grade,89,4144256020,53126,Franksville
,NORWAY-VULCAN AREA SCHOOLS,Michigan,MI,2626040,3,Prekindergarten,12th Grade,611,9065639552,49870,NORWAY
,NORWAYNE LOCAL,Ohio,OH,3905056,3,Prekindergarten,12th Grade,1345,3304356382,44217,Creston
,NORWELL,Massachusetts,MA,2509030,4,Prekindergarten,12th Grade,2182,7816598800,2061,Norwell
,NORWICH CITY SCHOOL DISTRICT,New York,NY,3621330,4,Prekindergarten,12th Grade,1702,6073341600,13815,NORWICH
,NORWICH FREE ACADEMY DISTRICT,Connecticut,CT,905371,1,9th Grade,12th Grade,2112,8608872505,6360,Norwich
,NORWICH SCHOOL DISTRICT,Connecticut,CT,903120,10,Prekindergarten,12th Grade,3293,8608234200,6360,Norwich
,NORWICH SCHOOL DISTRICT,Vermont,VT,5006180,1,Prekindergarten,12th Grade,291,8026491703,5055,Norwich
,NORWIN SD,Pennsylvania,PA,4217940,7,Kindergarten,12th Grade,5117,7248613000,15642,North Huntingdon
,NORWOOD,Massachusetts,MA,2509060,8,Prekindergarten,12th Grade,3387,7817626804,2062,Norwood
,NORWOOD,Oklahoma,OK,4021900,1,Prekindergarten,8th Grade,138,9184783092,74441,Hulbert
,NORWOOD CITY,Ohio,OH,3904457,5,Prekindergarten,12th Grade,1736,5139242500,45212,Norwood
,NORWOOD ESD 63,Illinois,IL,1729040,3,Prekindergarten,8th Grade,416,3096763523,61604,Peoria
,NORWOOD PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3411850,1,Prekindergarten,8th Grade,631,2017686363,7648,Norwood
,NORWOOD R-I,Missouri,MO,2922950,2,Prekindergarten,12th Grade,342,4177464101,65717,NORWOOD
,NORWOOD SCHOOL DISTRICT NO. R-2J,Colorado,CO,805880,1,Prekindergarten,12th Grade,181,9703274336,81423,NORWOOD
,NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT,New York,NY,3621360,3,Prekindergarten,12th Grade,960,3153536631,13668,NORWOOD
,NOSOTROS INC (79881),Arizona,AZ,400356,1,Kindergarten,12th Grade,228,5206241023,85745,TUCSON
,NOTRE ECOLE ACADEMY,MINNESOTA,MN,2700459,1,Kindergarten,1st Grade,26,9522281097,55422,GOLDEN VALLEY
,NOTTAWA COMMUNITY SCHOOL,Michigan,MI,2626100,1,Prekindergarten,8th Grade,152,2694677153,49091,Sturgis
,NOTTINGHAM SCHOOL DISTRICT,New Hampshire,NH,3305460,1,Kindergarten,8th Grade,482,6039421290,3261,Northwood
,NOTTOWAY CO PBLC SCHS,Virginia,VA,5102790,5,Prekindergarten,12th Grade,1878,4346459596,23955,Nottoway
,NOTUS DISTRICT,Idaho,ID,1602460,2,Prekindergarten,12th Grade,346,2084597442,83607,CALDWELL
,NOVA ACADEMY,Texas,TX,4800072,1,Prekindergarten,4th Grade,122,9728087475,75217,DALLAS
,NOVA ACADEMY - COACHELLA DISTRICT,CALIFORNIA,CA,602040,1,9th Grade,12th Grade,240,7145690948,92701,Coachella
,NOVA ACADEMY EARLY COLLEGE HIGH DISTRICT,CALIFORNIA,CA,601565,1,9th Grade,12th Grade,370,7145690948,92701,Santa Ana
,NOVA ACADEMY SOUTHEAST,Texas,TX,4800201,2,Prekindergarten,8th Grade,613,9728087475,75227,DALLAS
,NOVA ALTERNATIVE SCHOOL,Nebraska,NE,3100145,1,†,†,–,4029918551,68152,OMAHA
,NOVA CLASSICAL ACADEMY,Minnesota,MN,2700337,2,Kindergarten,12th Grade,1010,6512096320,55102,SAINT PAUL
,NOVATO CHARTER DISTRICT,CALIFORNIA,CA,601936,1,Kindergarten,8th Grade,270,4158834254,94949,Novato
,NOVATO UNIFIED,California,CA,627720,15,Kindergarten,12th Grade,7206,4158974201,94945,Novato
,NOVI COMMUNITY SCHOOL DISTRICT,Michigan,MI,2626130,10,Prekindergarten,12th Grade,6580,2484491234,48374,NOVI
,NOWATA,Oklahoma,OK,4021930,3,Prekindergarten,12th Grade,769,9182733425,74048,Nowata
,NOXON ELEM,Montana,MT,3000090,2,Prekindergarten,8th Grade,105,4068472442,59853,Noxon
,NOXON H S,Montana,MT,3019500,1,9th Grade,12th Grade,55,4068472442,59853,Noxon
,NOXUBEE COUNTY SCHOOL DISTRICT,Mississippi,MS,2803300,4,Prekindergarten,12th Grade,1413,6627264527,39341,MACON
,NPT SPECIAL EDUCATION COOPERATIVE,ILLINOIS,IL,1701440,0,–,–,†,2178244951,62568,Taylorville
,NRHEG SCHOOL DISTRICT,Minnesota,MN,2700089,2,Prekindergarten,12th Grade,842,5074653205,56072,NEW RICHLAND
,NUECES CANYON CISD,Texas,TX,4833240,2,Prekindergarten,12th Grade,260,8302343514,78828,BARKSDALE
,NUESTRO ELEMENTARY,California,CA,627750,1,Kindergarten,12th Grade,186,5308225100,95953,Live Oak
,NURSERY ISD,Texas,TX,4833270,1,Prekindergarten,5th Grade,141,3615756882,77976,VICTORIA
,NUTLEY PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3411880,7,Prekindergarten,12th Grade,4041,9736613500,7110,NUTLEY
,NUVIEW UNION,California,CA,627780,4,Kindergarten,12th Grade,2157,9519280066,92567,Nuevo
,NW INDIANA SPECIAL EDUCATION COOP,Indiana,IN,1808320,1,Kindergarten,12th Grade,101,2197694000,46307,Crown Point
,NW REGION INTERDISTRICT COUNCIL,Minnesota,MN,2700039,1,Prekindergarten,12th Grade,0,2188748215,56738,NEWFOLDEN
,NW SUBURBAN SPEC EDUC ORG,Illinois,IL,1700032,7,–,–,†,8474638100,60056,Mt Prospect
,NYACK UNION FREE SCHOOL DISTRICT,New York,NY,3621480,5,Kindergarten,12th Grade,2793,8453537015,10960,NYACK
,NYC AUTISM CHARTER SCHOOL BRONX,NEW YORK,NY,3601161,1,Ungraded,Ungraded,29,7189911340,10459,BRONX
,NYC AUTISM CHARTER SCHOOL EAST HARLEM,New York,NY,3600142,1,1st Grade,9th Grade,40,2128602580,10029,NEW YORK
,NYC CHANCELLOR'S OFFICE,New York,NY,3620580,0,†,†,0,2123746000,10007,NEW YORK
,NYC CHARTER HS - AECI,New York,NY,3600959,1,9th Grade,12th Grade,466,6464005566,10451,BRONX
,NYC SPECIAL SCHOOLS - DISTRICT 75,New York,NY,3600135,59,Prekindergarten,12th Grade,0,2128021501,10010,NEW YORK
,NYE COUNTY SCHOOL DISTRICT,Nevada,NV,3200360,28,Prekindergarten,12th Grade,5353,7754826258,89049,TON0PAH
,NYE ELEM,Montana,MT,3019530,1,Prekindergarten,6th Grade,9,4063286138,59061,Nye
,NYOS CHARTER SCHOOL,Texas,TX,4800058,2,Prekindergarten,12th Grade,1077,5125836967,78753,AUSTIN
,NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES,New York,NY,3600947,1,Ungraded,Ungraded,5,8669469733,12229,ALBANY
,NYSSA SD 26,Oregon,OR,4109000,3,Prekindergarten,12th Grade,1180,5413722275,97913,Nyssa
,O FALLON CCSD 90,Illinois,IL,1729760,7,Prekindergarten,8th Grade,3610,6186323666,62269,O Fallon
,O FALLON TWP HSD 203,Illinois,IL,1729790,1,9th Grade,12th Grade,2511,6186323507,62269,O Fallon
,O'DONNELL ISD,Texas,TX,4833390,1,Prekindergarten,12th Grade,298,8064283241,79351,O'DONNELL
,O'NEILL PUBLIC SCHOOLS,Nebraska,NE,3174850,2,Prekindergarten,12th Grade,780,4023363775,68763,O'NEILL
,OAHE SPECIAL EDUCATION COOPERATIVE,South Dakota,SD,4670000,0,†,†,†,6056496296,57452,Java
,OAK BLUFFS,Massachusetts,MA,2504650,1,Prekindergarten,8th Grade,414,5086932007,2568,Vineyard Haven
,OAK CHARTER ACADEMY,NORTH CAROLINA,NC,3700470,0,–,–,†,9842445528,27704,Durham
,OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT,Wisconsin,WI,5510830,11,Prekindergarten,12th Grade,6400,4147685880,53154,Oak Creek
,OAK GROVE,Oklahoma,OK,4022160,1,Prekindergarten,8th Grade,186,9183522889,74023,Cushing
,OAK GROVE ELEMENTARY,California,CA,627810,17,Kindergarten,8th Grade,9362,4082278300,95119,San Jose
,OAK GROVE R-VI,Missouri,MO,2923010,4,Prekindergarten,12th Grade,1985,8166904156,64075,OAK GROVE
,OAK GROVE SD 68  BARTONVILLE,Illinois,IL,1729100,1,Prekindergarten,8th Grade,267,3096970621,61607,Bartonville
,OAK GROVE SD 68 GREEN OAKS,Illinois,IL,1729130,1,Kindergarten,8th Grade,931,8473674120,60048,Libertyville
,OAK GROVE UNION ELEMENTARY,California,CA,627840,2,Kindergarten,12th Grade,840,7075450171,95401,Santa Rosa
,OAK HARBOR SCHOOL DISTRICT,Washington,WA,5305940,12,Prekindergarten,12th Grade,5767,3602795000,98277,OAK HARBOR
,OAK HILL R-I,Missouri,MO,2923040,1,Prekindergarten,8th Grade,129,5737295618,65560,SALEM
,OAK HILL UNION LOCAL,Ohio,OH,3904776,2,Prekindergarten,12th Grade,1141,7406827595,45656,Oak Hill
,OAK HILL UNITED SCHOOL CORP,Indiana,IN,1808340,5,Prekindergarten,12th Grade,1674,7653953341,46919,Converse
,OAK HILLS LOCAL,Ohio,OH,3904737,9,Prekindergarten,12th Grade,7639,5135743200,45233,Cincinnati
,OAK LAWN CHSD 229,Illinois,IL,1729220,1,9th Grade,12th Grade,1867,7084245200,60453,Oak Lawn
,OAK LAWN-HOMETOWN SD 123,Illinois,IL,1729190,6,Prekindergarten,8th Grade,3322,7084230150,60453,Oak Lawn
,OAK PARK - RIVER FOREST SD 200,Illinois,IL,1729280,1,9th Grade,12th Grade,3427,7083830700,60302,Oak Park
,OAK PARK ESD 97,Illinois,IL,1729250,10,Prekindergarten,8th Grade,5706,7085243000,60302,Oak Park
,OAK PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,MI,2626190,8,Prekindergarten,12th Grade,3870,2483367706,48237,OAK PARK
,OAK PARK UNIFIED,California,CA,627850,8,Kindergarten,12th Grade,4355,8187353200,91377,Oak Park
,OAK RIDGE,Tennessee,TN,4703240,8,Prekindergarten,12th Grade,4643,8654259001,37831,Oak Ridge
,OAK RIDGE R-VI,Missouri,MO,2923070,2,Prekindergarten,12th Grade,361,5732663218,63769,OAK RIDGE
,OAK RUN ELEMENTARY,California,CA,627870,1,Kindergarten,8th Grade,53,5304723241,96069,Oak Run
,OAK VALLEY UNION ELEMENTARY,California,CA,627900,1,Kindergarten,8th Grade,576,5596882909,93274,Tulare
,OAK VIEW UNION ELEMENTARY,California,CA,627930,1,Kindergarten,8th Grade,363,2093680636,95220,Acampo
,OAKDALE,Oklahoma,OK,4022350,1,Prekindergarten,8th Grade,652,4057713373,73013,Edmond
,OAKDALE CCSD 1,Illinois,IL,1729310,1,Kindergarten,8th Grade,61,6183295292,62268,Oakdale
,OAKDALE JOINT UNIFIED,California,CA,600062,9,Kindergarten,12th Grade,5282,2098484884,95361,Oakdale
,OAKES 41,North Dakota,ND,3814500,2,Prekindergarten,12th Grade,516,7017423234,58474,Oakes
,OAKESDALE SCHOOL DISTRICT,Washington,WA,5305970,2,Prekindergarten,12th Grade,153,5092855296,99158,OAKESDALE
,OAKFIELD SCHOOL DISTRICT,Wisconsin,WI,5510860,3,Prekindergarten,12th Grade,562,9205833146,53065,Oakfield
,OAKFIELD-ALABAMA CENTRAL SCHOOL DISTRICT,New York,NY,3621510,2,Prekindergarten,12th Grade,788,5859485211,14125,OAKFIELD
,OAKLAND ACADEMY,Michigan,MI,2600184,1,Kindergarten,8th Grade,152,2693248951,49024,PORTAGE
,OAKLAND CHARTER ACADEMY DISTRICT,CALIFORNIA,CA,602208,1,6th Grade,8th Grade,248,5105326751,94601,Oakland
,OAKLAND CHARTER HIGH DISTRICT,CALIFORNIA,CA,601465,1,9th Grade,12th Grade,459,5104360101,94601,Oakland
,OAKLAND COUNTY ACADEMY OF MEDIA & TECHNOLOGY,Michigan,MI,2601041,1,Prekindergarten,8th Grade,203,2489729100,48342,Pontiac
,OAKLAND CRAIG PUBLIC SCHOOLS,Nebraska,NE,3174640,2,Prekindergarten,12th Grade,423,4026855661,68045,OAKLAND
,OAKLAND CUSD 5,Illinois,IL,1729340,2,Prekindergarten,12th Grade,246,2173462555,61943,Oakland
,OAKLAND FLEXTECH HIGH SCHOOL,Michigan,MI,2601043,1,9th Grade,12th Grade,205,2484268530,48335,Farmington Hills
,OAKLAND INTERNATIONAL ACADEMY,Michigan,MI,2600217,4,Prekindergarten,12th Grade,807,3139251000,48211,DETROIT
,OAKLAND MILITARY INSTITUTECOLLEGE PREPARATORY ACAD DISTRICT,CALIFORNIA,CA,601971,1,6th Grade,12th Grade,627,5105943900,94608,Oakland
,OAKLAND PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3411910,4,Prekindergarten,8th Grade,1334,2013376156,7436,Oakland
,OAKLAND SCHOOL FOR THE ARTS DISTRICT,CALIFORNIA,CA,602458,1,6th Grade,12th Grade,801,5108738800,94612,Oakland
,OAKLAND SCHOOLS,Michigan,MI,2680880,6,Prekindergarten,12th Grade,1344,2482092000,48328,WATERFORD
,OAKLAND SD 1,Oregon,OR,4109120,3,Prekindergarten,12th Grade,576,5414594341,97462,Oakland
,OAKLAND UNIFIED,California,CA,628050,85,Kindergarten,12th Grade,35489,5108798200,94607,Oakland
,OAKLAND UNITY HIGH DISTRICT,CALIFORNIA,CA,602292,1,9th Grade,12th Grade,372,5106357170,94605,Oakland
,OAKLAND UNITY MIDDLE DISTRICT,CALIFORNIA,CA,602346,1,6th Grade,8th Grade,145,5109695302,94621,Oakland
,OAKLEY,Kansas,KS,2010050,3,Prekindergarten,12th Grade,472,7856714588,67748,Oakley
,OAKLEY UNION ELEMENTARY,California,CA,628080,9,Kindergarten,8th Grade,4939,9256250700,94561,Oakley
,OAKLYN PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3411940,1,Prekindergarten,5th Grade,278,8568580335,8107,Oaklyn
,OAKRIDGE PUBLIC SCHOOLS,Michigan,MI,2626220,5,Prekindergarten,12th Grade,1994,2317887100,49442,MUSKEGON
,OAKRIDGE SD 76,Oregon,OR,4109150,3,Prekindergarten,12th Grade,529,5417822813,97463,Oakridge
,OAKS-MISSION,Oklahoma,OK,4022410,2,Prekindergarten,12th Grade,173,9188682499,74359,Oaks
,OAKSIDE SCHOLARS CHARTER ACADEMY,Michigan,MI,2601068,1,Kindergarten,8th Grade,822,6163046601,48328,Waterford
,OAKSTONE COMMUNITY SCHOOL,Ohio,OH,3900383,1,Kindergarten,12th Grade,264,6144581085,43231,Columbus
,OAKVILLE SCHOOL DISTRICT,Washington,WA,5306000,4,Prekindergarten,12th Grade,287,3602730171,98568,OAKVILLE
,OAKWOOD CITY,Ohio,OH,3904458,5,Prekindergarten,12th Grade,2005,9372975332,45409,Dayton
,OAKWOOD CUSD 76,Illinois,IL,1710800,3,Prekindergarten,12th Grade,920,2174466081,61858,Oakwood
,OAKWOOD ISD,Texas,TX,4833340,2,Prekindergarten,12th Grade,192,9035452600,75855,OAKWOOD
,OASIS CHARTER PUBLIC DISTRICT,CALIFORNIA,CA,601603,1,Kindergarten,6th Grade,207,8314249003,93907,Salinas
,OBERLIN,Kansas,KS,2010080,2,Prekindergarten,12th Grade,390,7854753805,67749,Oberlin
,OBERLIN CITY SCHOOLS,Ohio,OH,3904459,4,Prekindergarten,12th Grade,822,4407741458,44074,Oberlin
,OBERON 16,North Dakota,ND,3814520,1,Kindergarten,8th Grade,41,7017982231,58357,Oberon
,OBION COUNTY,Tennessee,TN,4703270,7,Prekindergarten,12th Grade,3088,7318859743,38261,Union City
,OBLONG CUSD 4,Illinois,IL,1729420,2,Prekindergarten,12th Grade,550,6185923933,62449,Oblong
,OCASA COLLEGE PREP DISTRICT,CALIFORNIA,CA,602539,1,6th Grade,12th Grade,117,9492693290,92675,San Juan Capistrano
,OCEAN ACADEMY CHARTER SCHOOL,NEW JERSEY,NJ,3400789,1,Kindergarten,5th Grade,335,7329876525,8755,Lakewood
,OCEAN BEACH SCHOOL DISTRICT,Washington,WA,5306060,6,Prekindergarten,12th Grade,1040,3606423739,98631,Long Beach
,OCEAN CHARTER DISTRICT,CALIFORNIA,CA,602226,1,Kindergarten,8th Grade,571,3108275511,90066,Los Angeles
,OCEAN CITY SCHOOL DISTRICT,New Jersey,NJ,3411970,3,Prekindergarten,12th Grade,2056,6093994161,8226,Ocean City
,OCEAN CO JDC,NEW JERSEY,NJ,3400798,1,9th Grade,12th Grade,–,7323411365,8754,TOMS RIVER
,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,NJ,3411980,7,9th Grade,12th Grade,649,7322406414,8753,Toms River
,OCEAN GATE SCHOOL DISTRICT,New Jersey,NJ,3412030,1,Prekindergarten,6th Grade,134,7322693023,8740,Ocean Gate
,OCEAN GROVE CHARTER DISTRICT,CALIFORNIA,CA,601472,1,Kindergarten,12th Grade,3265,5302953566,95667,Boulder Creek
,OCEAN HILL COLLEGIATE CHARTER SCHOOL,New York,NY,3601032,1,Kindergarten,9th Grade,436,7182505765,11233,BROOKLYN
,OCEAN SPRINGS SCHOOL DIST,Mississippi,MS,2803360,7,Kindergarten,12th Grade,5739,2288757706,39566,Ocean Springs
,OCEAN TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3412090,2,Prekindergarten,6th Grade,508,6096933131,8758,Waretown
,OCEAN VIEW,California,CA,628170,5,Kindergarten,8th Grade,2288,8054884441,93033,Oxnard
,OCEAN VIEW,California,CA,628140,14,Kindergarten,8th Grade,7337,7148472551,92647,Huntington Beach
,OCEANPORT SCHOOL DISTRICT,New Jersey,NJ,3412120,2,Prekindergarten,8th Grade,541,7325420683,7757,Oceanport
,OCEANSIDE UNIFIED,California,CA,628250,24,Kindergarten,12th Grade,16373,7609664000,92058,Oceanside
,OCEANSIDE UNION FREE SCHOOL DISTRICT,New York,NY,3621570,10,Kindergarten,12th Grade,5458,5166781215,11572,OCEANSIDE
,OCONEE 01,South Carolina,SC,4503060,17,Prekindergarten,12th Grade,10168,8648864400,29691,Walhalla
,OCONEE COUNTY,Georgia,GA,1303960,11,Prekindergarten,12th Grade,8224,7067695130,30677,Watkinsville
,OCONEE RESA,Georgia,GA,1300014,0,†,†,†,4785525178,31082,Sandersville
,OCONOMOWOC AREA SCHOOL DISTRICT,Wisconsin,WI,5510890,8,Prekindergarten,12th Grade,5116,2625601115,53066,Oconomowoc
,OCONTO FALLS PUBLIC SCHOOL DISTRICT,Wisconsin,WI,5510950,4,Prekindergarten,12th Grade,1622,9208484471,54154,Oconto Falls
,OCONTO UNIFIED SCHOOL DISTRICT,Wisconsin,WI,5510920,5,Prekindergarten,12th Grade,968,9208347814,54153,Oconto
,OCOSTA SCHOOL DISTRICT,Washington,WA,5306090,2,Prekindergarten,12th Grade,619,3602689125,98595,WESTPORT
,OCS - SOUTH DISTRICT,CALIFORNIA,CA,602399,1,Kindergarten,8th Grade,267,6262290993,91001,Pasadena
,OCSA DISTRICT,CALIFORNIA,CA,602284,1,7th Grade,12th Grade,2277,7145609000,92701,Santa Ana
,OCTORARA AREA SD,Pennsylvania,PA,4218030,4,Kindergarten,12th Grade,2118,6105938238,19310,Atglen
,ODE HEAD START,Oregon,OR,4100046,0,Prekindergarten,12th Grade,0,5039475715,97310,Salem
,ODE HOSPITAL PROGRAM DISTRICT,OREGON,OR,4100384,0,Prekindergarten,12th Grade,12,5039475600,97310,Salem
,ODE JDEP DISTRICT,Oregon,OR,4100045,0,Prekindergarten,12th Grade,98,5039475661,97310,Salem
,ODE LTCT DISTRICT,Oregon,OR,4100049,0,Prekindergarten,12th Grade,549,5033783600,97310,Salem
,ODE YCEP DISTRICT,Oregon,OR,4100043,8,6th Grade,12th Grade,264,5039475661,97310,Salem
,ODEBOLT ARTHUR BATTLE CREEK IDA GROVE COMM SCHOOL DISTRICT,Iowa,IA,1921600,4,Prekindergarten,12th Grade,983,7123642255,51445,Ida Grove
,ODELL CCSD 435,Illinois,IL,1729520,1,Prekindergarten,8th Grade,175,8159982272,60460,Odell
,ODEM-EDROY ISD,Texas,TX,4833360,4,Prekindergarten,12th Grade,846,3613688121,78370,ODEM
,ODESSA R-VII,Missouri,MO,2923100,4,Prekindergarten,12th Grade,1995,8166335316,64076,ODESSA
,ODESSA SCHOOL DISTRICT,Washington,WA,5306120,2,Prekindergarten,12th Grade,225,5099822668,99159,ODESSA
,ODESSA-MONTOUR CENTRAL SCHOOL DISTRICT,New York,NY,3621630,3,Prekindergarten,12th Grade,766,6075943341,14869,ODESSA
,ODIN PSD 722,Illinois,IL,1701404,2,Prekindergarten,12th Grade,225,6187758266,62870,Odin
,ODYSSEY ACADEMY INC,Texas,TX,4800108,2,Prekindergarten,12th Grade,1397,4096842385,77551,GALVESTON
,ODYSSEY CHARTER DISTRICT,CALIFORNIA,CA,601915,1,Kindergarten,8th Grade,471,6262290993,91001,Altadena
,ODYSSEY CHARTER SCHOOL,Delaware,DE,1000026,1,Kindergarten,12th Grade,1926,3025168000,19805,Wilmington
,ODYSSEY CHARTER SCHOOL,Utah,UT,4900021,1,Kindergarten,6th Grade,361,8014928105,84003,American Fork
,ODYSSEY COMMUNITY SCHOOL DISTRICT,Connecticut,CT,900009,1,Kindergarten,8th Grade,328,8606451234,6040,Manchester
,OELRICHS SCHOOL DISTRICT 23-3,South Dakota,SD,4652770,3,Prekindergarten,12th Grade,128,6055352631,57763,Oelrichs
,OELWEIN COMM SCHOOL DISTRICT,Iowa,IA,1921630,4,Prekindergarten,12th Grade,1316,3192833536,50662,Oelwein
,OFFICE OF EARLY CHILDHOOD (OEC),Connecticut,CT,900001,0,–,–,†,8604186148,6106,Hartford
,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,New Jersey,NJ,3400085,22,1st Grade,12th Grade,316,6095833144,8628,WEST TRENTON
,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,New Jersey,NJ,3400089,14,7th Grade,12th Grade,122,6099434932,8625,TRENTON
,OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,New Jersey,NJ,3400088,7,9th Grade,12th Grade,62,6092928054,8625,TRENTON
,OFFICE OF HIGHER EDUCATION,CONNECTICUT,CT,900225,0,–,–,†,8609471800,6106,Hartford
,OFFICE OF JUVENILE JUSTICE,Louisiana,LA,2200047,3,Kindergarten,12th Grade,143,2252877633,70896,Baton Rouge
,OFFICE OF THE GOVERNOR (SCH FOR BLIND),Washington,WA,5300318,1,6th Grade,12th Grade,52,3609473308,98661,VANCOUVER
,OGALLALA PUBLIC SCHOOLS,Nebraska,NE,3174760,2,Prekindergarten,12th Grade,878,3082844060,69153,OGALLALA
